customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,review_missing,used_promo,purchases_per_year,engagement_score,promo_dependency_score,promo_dependency_tier,lifetime_value_proxy,value_tier,satisfaction_tier,high_satisfaction,loyalty_score_a,loyalty_score_b,loyal_a_flag,loyal_b_flag
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,0,1,26,35.5,64.5,Moderate Dependency,742,Silver,Dissatisfied,0,35.5,0.0,0,0
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,0,1,26,20.8,79.2,High Dependency,128,Bronze,Dissatisfied,0,20.8,0.0,0,0
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,0,1,52,66.9,33.1,Moderate Dependency,1679,Gold,Dissatisfied,0,66.9,16.9,1,0
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,0,1,52,98.8,1.2,Low Dependency,4410,Platinum,Neutral,0,98.8,88.4,1,1
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,0,1,1,36.7,63.3,Moderate Dependency,1519,Gold,Dissatisfied,0,36.7,0.0,0,0
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,0,1,52,55.9,44.1,Moderate Dependency,280,Bronze,Dissatisfied,0,55.9,0.0,1,0
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,0,1,4,61.1,38.9,Moderate Dependency,4165,Platinum,Dissatisfied,0,61.1,64.4,1,1
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly,0,1,52,62.0,38.0,Moderate Dependency,646,Silver,Dissatisfied,0,62.0,0.0,1,0
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually,0,1,1,8.6,91.4,High Dependency,776,Silver,Dissatisfied,0,8.6,0.0,0,0
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,0,1,4,6.0,94.0,High Dependency,124,Bronze,Satisfied,1,6.0,0.0,0,0
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,0,1,26,50.2,49.8,Moderate Dependency,884,Silver,Satisfied,1,50.2,0.0,0,0
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,0,1,26,30.6,69.4,High Dependency,680,Silver,Satisfied,1,30.6,0.0,0,0
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,0,1,26,63.7,36.3,Moderate Dependency,2664,Platinum,Satisfied,1,63.7,35.3,1,1
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly,0,1,52,76.7,23.3,Low Dependency,1581,Gold,Satisfied,1,76.7,19.9,1,0
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,0,1,52,80.4,19.6,Low Dependency,1802,Gold,Satisfied,1,80.4,26.2,1,0
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,0,1,12,17.2,82.8,High Dependency,648,Silver,Dissatisfied,0,17.2,0.0,0,0
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,0,1,26,72.3,27.7,Low Dependency,1584,Gold,Satisfied,1,72.3,17.7,1,0
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,0,1,4,45.2,54.8,Moderate Dependency,1368,Gold,Satisfied,1,45.2,0.0,0,0
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,0,1,52,59.6,40.4,Moderate Dependency,816,Silver,Satisfied,1,59.6,0.0,1,0
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,0,1,26,74.7,25.3,Low Dependency,4140,Platinum,Neutral,0,74.7,70.8,1,1
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,0,1,4,62.4,37.6,Moderate Dependency,2550,Platinum,Dissatisfied,0,62.4,32.3,1,1
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,0,1,4,28.1,71.9,High Dependency,1364,Gold,Satisfied,1,28.1,0.0,0,0
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,0,1,1,38.0,62.0,Moderate Dependency,1184,Silver,Dissatisfied,0,38.0,0.0,0,0
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,0,1,52,87.8,12.2,Low Dependency,3520,Platinum,Satisfied,1,87.8,64.8,1,1
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,0,1,52,58.4,41.6,Moderate Dependency,352,Bronze,Dissatisfied,0,58.4,0.0,1,0
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,0,1,1,15.9,84.1,High Dependency,350,Bronze,Neutral,0,15.9,0.0,0,0
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,0,1,1,14.7,85.3,High Dependency,260,Bronze,Neutral,0,14.7,0.0,0,0
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,0,1,4,9.7,90.3,High Dependency,392,Bronze,Satisfied,1,9.7,0.0,0,0
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,0,1,4,51.3,48.7,Moderate Dependency,3854,Platinum,Satisfied,1,51.3,53.2,0,1
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,0,1,52,55.9,44.1,Moderate Dependency,672,Silver,Satisfied,1,55.9,0.0,1,0
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,0,1,12,27.0,73.0,High Dependency,496,Bronze,Satisfied,1,27.0,0.0,0,0
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,0,1,12,62.5,37.5,Moderate Dependency,3555,Platinum,Satisfied,1,62.5,52.8,1,1
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,0,1,1,44.1,55.9,Moderate Dependency,2479,Platinum,Satisfied,1,44.1,21.6,0,0
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,0,1,4,56.2,43.8,Moderate Dependency,1710,Gold,Neutral,0,56.2,12.1,1,0
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,0,1,4,47.7,52.3,Moderate Dependency,3458,Platinum,Satisfied,1,47.7,43.3,0,1
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,0,1,26,77.2,22.8,Low Dependency,1584,Gold,Neutral,0,77.2,20.2,1,0
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,0,1,26,72.3,27.7,Low Dependency,3036,Platinum,Satisfied,1,72.3,47.2,1,1
